Index,Comments
1,Indian firms should be allowed to form multidisciplinary partnerships to compete globally.
2,Relax restrictions on advertising for professional firms to enable brand building.
3,Government should provide incentives for Indian consultancy firms to merge and grow.
4,Introduce safeguards to prevent conflict of interest in multidisciplinary partnerships.
5,"Indian firms lack global presence, need support to expand internationally."
6,Learning from UK and Singapore models could help in developing strong MDPs in India.
7,Regulatory bodies should coordinate better to avoid fragmented licensing.
8,"Allow IT, ESG, and management professionals in MDPs along with CAs and lawyers."
9,Encourage Indian firms to collaborate with global networks under joint ventures.
10,Dispute resolution mechanism among professionals in MDP should be clarified.
